Project ID,Use Case Quality Score,Defect Count,Project Duration (months),Client Satisfaction,Remarks
P0001,sixty,5 defects,8 m,Medium ,"Incomplete UC, rework happened"
P0002,100 ,eight,14,low,Well defined use cases
P0003,90%,5 defects,14,High,"Incomplete UC, rework happened"
P0004,N/A,15 ,9,Medium ,good but unclear alt flows
P0005,sixty,zero,12months,low,Well defined use cases
P0006, 45%,5 defects,,low,poorly written
P0007,sixty,,8 m,LOW , some missing flows
P0008,100 ,zero,10,low,Well defined use cases
P0009,100 ,zero,14,LOW ,UC not reviewed
P0010,100 ,15 ,12months,, some missing flows
P0011,100 ,,8 m,LOW ,UC not reviewed
P0012,sixty,eight,9,High,poorly written
P0013,,,12months,low,poorly written
P0014,85,15 ,,low, Excellent documentation 
P0015,N/A,5 defects,10,High,poorly written
P0016,,15 ,10,Medium , Excellent documentation 
P0017,100 ,15 ,14,HIGH,Well defined use cases
P0018, 45%,,10,Medium ,UC not reviewed
P0019,90%,,,low, Excellent documentation 
P0020,,,8 m,low, some missing flows
P0021, 45%,15 ,N/A,LOW , some missing flows
P0022,sixty,zero,,High,"Incomplete UC, rework happened"
P0023,,12,10,High,Well defined use cases
P0024,,12,12months,Medium , Excellent documentation 
P0025, 70,12,9,low,poorly written
P0026,85,12,9,LOW , Excellent documentation 
P0027, 45%,20,10,,UC not reviewed
P0028,85,,9,HIGH, some missing flows
P0029,N/A,12,,,"Incomplete UC, rework happened"
P0030,sixty,20,9,HIGH,"Incomplete UC, rework happened"
P0031,N/A,zero,,LOW ,good but unclear alt flows
P0032,90%,15 ,N/A,High,Well defined use cases
P0033,85,20,N/A,HIGH,
P0034,100 ,,9,LOW , Excellent documentation 
P0035,,eight, eleven,Medium ,poorly written
P0036, 70,12,9,,good but unclear alt flows
P0037,100 ,eight,12months,, Excellent documentation 
P0038, 70,12,10,LOW , some missing flows
P0039,100 ,5 defects,9,low,poorly written
P0040,90%,eight,10,HIGH,UC not reviewed
P0041,90%,12,8 m,,
P0042, 45%,zero,14,Medium , some missing flows
P0043, 45%,zero,12months,HIGH,UC not reviewed
P0044,,12,,,"Incomplete UC, rework happened"
P0045,N/A,15 ,9,,"Incomplete UC, rework happened"
P0046,N/A,20,9,HIGH,good but unclear alt flows
P0047, 45%,5 defects,8 m,High,
P0048,90%,eight,9,Medium ,good but unclear alt flows
P0049,sixty,5 defects,,low,
P0050, 45%,20,10,,UC not reviewed
P0051,,15 ,14,HIGH,good but unclear alt flows
P0052,85,,N/A,HIGH,good but unclear alt flows
P0053, 45%,15 ,10,, some missing flows
P0054,100 ,, eleven,Medium ,Well defined use cases
P0055,sixty,, eleven,LOW ,poorly written
P0056,N/A,zero,14,Medium ,UC not reviewed
P0057,N/A,20,14,LOW ,poorly written
P0058,,20,14,LOW , Excellent documentation 
P0059,,eight,10,Medium ,
P0060,N/A,12,14,,
P0061,sixty,,N/A,LOW ,"Incomplete UC, rework happened"
P0062,100 ,5 defects,,low,good but unclear alt flows
P0063,85,,N/A,High,
P0064,100 ,,10,High, some missing flows
P0065, 70,5 defects,14,low,Well defined use cases
P0066, 70,5 defects,10,High, some missing flows
P0067,90%,12,,low,Well defined use cases
P0068,90%,5 defects,12months,, Excellent documentation 
P0069,sixty,,,,good but unclear alt flows
P0070,N/A,5 defects,10,Medium ,poorly written
P0071,sixty,12,12months,low, Excellent documentation 
P0072,90%,15 ,9,HIGH,Well defined use cases
P0073,,5 defects,10,Medium ,Well defined use cases
P0074,90%,zero,14,,"Incomplete UC, rework happened"
P0075,85,eight,9,High,UC not reviewed
P0076,sixty,5 defects,,low,UC not reviewed
P0077, 45%,15 ,N/A,HIGH, Excellent documentation 
P0078, 70,eight,,High,poorly written
P0079,85,,N/A,LOW , some missing flows
P0080,N/A,20,,low, Excellent documentation 
P0081,,5 defects,N/A,,Well defined use cases
P0082,sixty,12,12months,,
P0083,85,15 ,N/A,LOW ,good but unclear alt flows
P0084,N/A,,,,good but unclear alt flows
P0085,100 ,zero,10,HIGH,Well defined use cases
P0086,N/A,5 defects,,, Excellent documentation 
P0087,90%,15 ,12months,LOW ,poorly written
P0088,,5 defects,N/A,LOW , Excellent documentation 
P0089,85,20,14,LOW ,
P0090,N/A,zero,N/A,low, some missing flows
P0091,N/A,15 ,14,Medium , some missing flows
P0092,90%,zero,8 m,LOW ,
P0093,85,,14,LOW , some missing flows
P0094,90%,,10,HIGH,
P0095,sixty,5 defects, eleven,HIGH,"Incomplete UC, rework happened"
P0096,100 ,,14,LOW ,good but unclear alt flows
P0097, 70,12,14,Medium ,"Incomplete UC, rework happened"
P0098,100 ,zero,10,LOW , Excellent documentation 
P0099,90%,5 defects,9,low,poorly written
P0100,sixty,eight,8 m,LOW ,poorly written
P0101,,zero,10,,"Incomplete UC, rework happened"
P0102, 45%,12,14,High,"Incomplete UC, rework happened"
P0103,90%,eight,N/A,HIGH,good but unclear alt flows
P0104, 70,eight, eleven,LOW ,
P0105,,,N/A,,"Incomplete UC, rework happened"
P0106, 70,5 defects,,Medium , some missing flows
P0107,sixty,15 ,N/A,,poorly written
P0108,85,,10,HIGH,
P0109,sixty,15 ,,low,UC not reviewed
P0110,N/A,15 ,N/A,LOW ,"Incomplete UC, rework happened"
P0111,100 ,,N/A,low,
P0112,100 ,zero,10,HIGH,Well defined use cases
P0113, 45%,,,,"Incomplete UC, rework happened"
P0114,100 ,zero,12months,Medium , Excellent documentation 
P0115,85,5 defects,N/A,low,"Incomplete UC, rework happened"
P0116,85,eight,14,HIGH, Excellent documentation 
P0117,100 ,5 defects,N/A,Medium ,good but unclear alt flows
P0118, 45%,,9,low,Well defined use cases
P0119,,15 ,10,High,
P0120,,, eleven,low,
P0121,90%,5 defects,N/A,low,Well defined use cases
P0122, 45%,12,14,low, Excellent documentation 
P0123,,,9,LOW ,poorly written
P0124,100 ,,10,Medium ,"Incomplete UC, rework happened"
P0125,N/A,12,9,HIGH, some missing flows
P0126,100 ,5 defects,N/A,HIGH,UC not reviewed
P0127,90%,20,,Medium ,UC not reviewed
P0128,100 ,eight,14,Medium , some missing flows
P0129,100 ,zero,9,High,"Incomplete UC, rework happened"
P0130, 70,12,10,Medium ,good but unclear alt flows
P0131,,12,N/A,HIGH,good but unclear alt flows
P0132,sixty,,12months,HIGH,"Incomplete UC, rework happened"
P0133,sixty,,12months,HIGH,"Incomplete UC, rework happened"
P0134,85,5 defects,14,LOW ,good but unclear alt flows
P0135, 70,5 defects,9,HIGH, Excellent documentation 
P0136,,eight,12months,High,UC not reviewed
P0137, 45%,zero,8 m,low,"Incomplete UC, rework happened"
P0138,,zero,8 m,LOW ,"Incomplete UC, rework happened"
P0139,90%,20,N/A,Medium ,
P0140, 70,20,14,LOW ,Well defined use cases
P0141,90%,,10,HIGH,poorly written
P0142, 45%,15 ,N/A,High, some missing flows
P0143,100 ,20,10,,"Incomplete UC, rework happened"
P0144,,zero,N/A,,poorly written
P0145,,15 ,9,HIGH,good but unclear alt flows
P0146,90%,zero,,LOW ,good but unclear alt flows
P0147,,,9,Medium ,Well defined use cases
P0148,90%,eight,9,,good but unclear alt flows
P0149,sixty,eight, eleven,HIGH,"Incomplete UC, rework happened"
P0150,,, eleven,HIGH, Excellent documentation 
P0151,N/A,20,,,UC not reviewed
P0152,90%,eight,8 m,LOW ,good but unclear alt flows
P0153,sixty,eight,10,High,good but unclear alt flows
P0154, 45%,eight,10,High,UC not reviewed
P0155,85,15 ,14,low,Well defined use cases
P0156,N/A,15 ,14,HIGH,UC not reviewed
P0157,,,,low,good but unclear alt flows
P0158,N/A,12,9,LOW , Excellent documentation 
P0159,100 ,zero,8 m,High,poorly written
P0160,90%,20, eleven,Medium , some missing flows
P0161,100 ,,10,LOW ,Well defined use cases
P0162,,zero,12months,LOW , some missing flows
P0163,,,14,High,UC not reviewed
P0164,85,eight,,Medium ,Well defined use cases
P0165,100 ,eight,14,HIGH,
P0166, 45%,20,9,High,UC not reviewed
P0167,,eight,8 m,Medium ,Well defined use cases
P0168,90%,zero,9,HIGH,poorly written
P0169,90%,5 defects,8 m,High,poorly written
P0170, 70,15 ,9,low,"Incomplete UC, rework happened"
P0171,,zero,14,LOW ,good but unclear alt flows
P0172,85,12,8 m,Medium ,good but unclear alt flows
P0173,sixty,20,,Medium , some missing flows
P0174,90%,,N/A,low,Well defined use cases
P0175,,15 ,,LOW , Excellent documentation 
P0176,N/A,, eleven,High,
P0177,,20,N/A,low,
P0178, 70,,12months,low,good but unclear alt flows
P0179,100 ,5 defects,10,HIGH,good but unclear alt flows
P0180,,,12months,High,Well defined use cases
P0181,85,20, eleven,LOW ,Well defined use cases
P0182,85,zero,N/A,HIGH,poorly written
P0183,100 ,20,12months,Medium ,
P0184,,20,14,low,UC not reviewed
P0185, 70,zero, eleven,Medium ,poorly written
P0186,N/A,12,9,High,UC not reviewed
P0187,,eight,9,HIGH,Well defined use cases
P0188,,20,12months,LOW ,"Incomplete UC, rework happened"
P0189,N/A,,9,LOW ,
P0190,100 ,,,LOW ,poorly written
P0191, 70,20,12months,low,UC not reviewed
P0192,100 ,5 defects,,,
P0193,sixty,eight,10,,poorly written
P0194,,,12months,, Excellent documentation 
P0195,sixty,,,LOW ,good but unclear alt flows
P0196,85,5 defects, eleven,,Well defined use cases
P0197, 45%,eight,N/A,High,poorly written
P0198, 45%,,9,HIGH,Well defined use cases
P0199,N/A,zero,N/A,Medium , some missing flows
P0200,,15 ,8 m,low,"Incomplete UC, rework happened"
P0201,90%,,12months,,UC not reviewed
P0202,85,,9,Medium , Excellent documentation 
P0203,,, eleven,High,Well defined use cases
P0204,90%,20,12months,low, Excellent documentation 
P0205,85,15 ,12months,,poorly written
P0206,100 ,20,10,,UC not reviewed
P0207,N/A,12,N/A,LOW ,poorly written
P0208,sixty,5 defects,12months,Medium , some missing flows
P0209, 45%,zero,,High,poorly written
P0210,N/A,12, eleven,Medium ,UC not reviewed
P0211,90%,eight,14,LOW ,Well defined use cases
P0212,85,,14,,
P0213,,zero,8 m,HIGH,"Incomplete UC, rework happened"
P0214,,5 defects, eleven,,UC not reviewed
P0215,N/A,,14,Medium ,
P0216, 70,zero,10,LOW , some missing flows
P0217,N/A,zero,10,low,Well defined use cases
P0218,sixty,5 defects,10,Medium ,
P0219,,12,14,Medium , some missing flows
P0220,100 ,,12months,Medium ,good but unclear alt flows
P0221,90%,5 defects,10,HIGH,
P0222, 45%,,14,LOW , Excellent documentation 
P0223, 70,,,High,Well defined use cases
P0224,,,14,,poorly written
P0225,,,N/A,High,good but unclear alt flows
P0226,N/A,12,12months,HIGH,good but unclear alt flows
P0227,,15 , eleven,low,good but unclear alt flows
P0228, 70,20,14,HIGH,Well defined use cases
P0229,,15 ,12months,HIGH, Excellent documentation 
P0230, 45%,,14,High,
P0231,85,, eleven,,UC not reviewed
P0232,sixty,,9,low,
P0233, 45%,20,10,High, Excellent documentation 
P0234,,zero,,LOW ,poorly written
P0235, 70,15 ,14,,"Incomplete UC, rework happened"
P0236,85,20,9,low, Excellent documentation 
P0237, 45%,15 ,,low, Excellent documentation 
P0238,,zero,8 m,low,Well defined use cases
P0239,N/A,12,14,low, Excellent documentation 
P0240, 70,zero,,HIGH,poorly written
P0241, 70,eight,14,,"Incomplete UC, rework happened"
P0242,N/A,zero,N/A,,Well defined use cases
P0243,,15 ,12months,LOW ,UC not reviewed
P0244, 45%,15 ,8 m,low,UC not reviewed
P0245, 70,12, eleven,LOW ,UC not reviewed
P0246,,,N/A,HIGH,"Incomplete UC, rework happened"
P0247,90%,5 defects, eleven,HIGH,"Incomplete UC, rework happened"
P0248,90%,,9,HIGH,
P0249,85,, eleven,HIGH,UC not reviewed
P0250,85,zero,10,low,UC not reviewed
P0251,90%,, eleven,Medium ,poorly written
P0252,85,20,12months,,poorly written
P0253, 70,20,,Medium ,Well defined use cases
P0254,sixty,20,14,HIGH, Excellent documentation 
P0255, 45%,,12months,Medium , Excellent documentation 
P0256,85,,N/A,High,poorly written
P0257,85,eight,10,low,good but unclear alt flows
P0258,100 ,20, eleven,High,UC not reviewed
P0259,100 ,12, eleven,HIGH,Well defined use cases
P0260,,zero,10,HIGH,"Incomplete UC, rework happened"
P0261,N/A,5 defects,9,LOW ,Well defined use cases
P0262, 45%,, eleven,,Well defined use cases
P0263,,eight,8 m,LOW , Excellent documentation 
P0264, 70,12, eleven,,"Incomplete UC, rework happened"
P0265,100 ,,12months,HIGH,"Incomplete UC, rework happened"
P0266,,,14,Medium , some missing flows
P0267, 70,20, eleven,High,good but unclear alt flows
P0268,90%,,N/A,HIGH,UC not reviewed
P0269,N/A,,14,low,
P0270,90%,20,14,low,UC not reviewed
P0271, 70,zero,12months,LOW ,poorly written
P0272,100 ,,14,LOW ,Well defined use cases
P0273, 45%,,8 m,High,poorly written
P0274,90%,20,12months,High,Well defined use cases
P0275,sixty,,N/A,LOW , some missing flows
P0276, 70,zero,9,low,good but unclear alt flows
P0277,sixty,5 defects,8 m,HIGH,UC not reviewed
P0278,sixty,zero,10,LOW ,UC not reviewed
P0279,N/A,,N/A,HIGH,UC not reviewed
P0280, 70,,14,Medium ,"Incomplete UC, rework happened"
P0281,sixty,,10,Medium ,good but unclear alt flows
P0282, 70,12,8 m,low,good but unclear alt flows
P0283,N/A,eight,N/A,LOW ,good but unclear alt flows
P0284,,zero,10,Medium ,"Incomplete UC, rework happened"
P0285, 45%,eight,12months,LOW , some missing flows
P0286,N/A,,12months,High,UC not reviewed
P0287,90%,5 defects,9,HIGH,poorly written
P0288,sixty,15 , eleven,HIGH,good but unclear alt flows
P0289, 45%,5 defects,14,High,"Incomplete UC, rework happened"
P0290,sixty,,10,HIGH, Excellent documentation 
P0291, 70,15 ,9,LOW ,UC not reviewed
P0292, 45%,eight,,High,UC not reviewed
P0293,N/A,20,14,High,poorly written
P0294,85,15 ,,,poorly written
P0295,,12, eleven,low, Excellent documentation 
P0296,90%,zero,12months,HIGH,poorly written
P0297,N/A,5 defects,9,Medium ,UC not reviewed
P0298,,,8 m,HIGH,UC not reviewed
P0299,90%,eight,9,Medium ,Well defined use cases
P0300,85,5 defects,8 m,HIGH,poorly written
P0301,85,15 ,8 m,, Excellent documentation 
P0302, 45%,,N/A,High,poorly written
P0303,85,eight,8 m,Medium ,"Incomplete UC, rework happened"
P0304, 70,eight,N/A,High,
P0305,100 ,zero, eleven,Medium ,"Incomplete UC, rework happened"
P0306,,15 ,12months,HIGH,good but unclear alt flows
P0307, 45%,12,,High,poorly written
P0308,90%,zero,N/A,low,Well defined use cases
P0309, 70,eight, eleven,High, Excellent documentation 
P0310,,,10,LOW ,good but unclear alt flows
P0311, 70,12,14,LOW ,poorly written
P0312, 45%,eight,N/A,Medium ,Well defined use cases
P0313,85,12, eleven,Medium ,poorly written
P0314, 45%,12,14,Medium ,"Incomplete UC, rework happened"
P0315,85,12,N/A,HIGH,UC not reviewed
P0316,N/A,,N/A,High,"Incomplete UC, rework happened"
P0317,100 ,,9,Medium , some missing flows
P0318, 70,20,8 m,low,poorly written
P0319,,20,8 m,LOW , Excellent documentation 
P0320,sixty,5 defects,8 m,HIGH,poorly written
P0321, 70,12,9,HIGH,poorly written
P0322,,,10,Medium , some missing flows
P0323,sixty,,,High,good but unclear alt flows
P0324,sixty,eight,9,Medium ,UC not reviewed
P0325,,12,14,LOW ,
P0326,85,5 defects,N/A,LOW ,Well defined use cases
P0327,,zero,14,Medium ,"Incomplete UC, rework happened"
P0328,85,,9,,good but unclear alt flows
P0329,,15 ,N/A,Medium , Excellent documentation 
P0330, 45%,zero,10,LOW ,UC not reviewed
P0331,,5 defects,8 m,low,poorly written
P0332,,,N/A,Medium ,poorly written
P0333,85,,10,LOW ,good but unclear alt flows
P0334, 70,zero,,HIGH,UC not reviewed
P0335, 70,zero,8 m,Medium ,UC not reviewed
P0336,90%,zero, eleven,HIGH, Excellent documentation 
P0337,,,,,"Incomplete UC, rework happened"
P0338,100 ,, eleven,HIGH,poorly written
P0339,90%,20,14,High,Well defined use cases
P0340,90%,eight,8 m,HIGH,poorly written
P0341, 45%,zero,8 m,High, some missing flows
P0342,85,15 ,9,LOW ,
P0343, 70,20,12months,HIGH, some missing flows
P0344,N/A,, eleven,low,Well defined use cases
P0345, 70,,,Medium ,poorly written
P0346,sixty,5 defects,N/A,HIGH,good but unclear alt flows
P0347,90%,20,9,low, Excellent documentation 
P0348, 45%,,N/A,low, Excellent documentation 
P0349,sixty,12,9,High,
P0350,100 ,eight, eleven,High,UC not reviewed
P0351,N/A,eight,14,Medium ,
P0352,N/A,20,8 m,LOW ,Well defined use cases
P0353,sixty,12, eleven,LOW ,UC not reviewed
P0354,100 ,20,14,HIGH, Excellent documentation 
P0355,,,10,low, Excellent documentation 
P0356,,12,N/A,LOW , Excellent documentation 
P0357, 70,eight, eleven,HIGH,poorly written
P0358,85,15 , eleven,,Well defined use cases
P0359,,20,N/A,,good but unclear alt flows
P0360,N/A,15 ,10,low,"Incomplete UC, rework happened"
P0361,,15 ,12months,,Well defined use cases
P0362,90%,20,9,,UC not reviewed
P0363,85,5 defects,9,, Excellent documentation 
P0364,sixty,12,8 m,low, some missing flows
P0365, 45%,eight,12months,HIGH,good but unclear alt flows
P0366,N/A,zero,,Medium , some missing flows
P0367, 45%,eight,,, Excellent documentation 
P0368,,12,N/A,High,UC not reviewed
P0369, 70,,,, Excellent documentation 
P0370,sixty,zero,8 m,LOW , Excellent documentation 
P0371,100 ,12,8 m,HIGH,UC not reviewed
P0372, 45%,20,14,,poorly written
P0373, 45%,5 defects,10,LOW ,"Incomplete UC, rework happened"
P0374,,20,14,HIGH, Excellent documentation 
P0375,85,,,Medium ,"Incomplete UC, rework happened"
P0376,,20,10,low, Excellent documentation 
P0377,N/A,15 ,,High,
P0378,sixty,15 ,N/A,LOW , some missing flows
P0379,N/A,zero,N/A,LOW ,
P0380, 45%,15 ,9,LOW ,good but unclear alt flows
P0381,,eight,8 m,LOW , Excellent documentation 
P0382,sixty,eight,9,LOW ,
P0383, 45%,5 defects,8 m,,"Incomplete UC, rework happened"
P0384,N/A,12,10,Medium ,poorly written
P0385,100 ,12,8 m,Medium , Excellent documentation 
P0386,,15 ,8 m,,UC not reviewed
P0387,100 ,,8 m,,poorly written
P0388,90%,12,,low,poorly written
P0389,85,, eleven,Medium ,"Incomplete UC, rework happened"
P0390,90%,zero,10,Medium ,UC not reviewed
P0391,N/A,,8 m,HIGH,UC not reviewed
P0392,90%,, eleven,LOW ,good but unclear alt flows
P0393, 45%,15 ,8 m,LOW ,Well defined use cases
P0394,sixty,15 , eleven,low, Excellent documentation 
P0395,,15 , eleven,low,poorly written
P0396,85,20,N/A,,
P0397,N/A,,12months,High,poorly written
P0398, 70,zero,12months,HIGH,"Incomplete UC, rework happened"
P0399,100 ,zero,N/A,low, some missing flows
P0400, 70,eight,14,LOW ,Well defined use cases
P0401,90%,5 defects,14,, Excellent documentation 
P0402, 45%,zero,10,LOW ,UC not reviewed
P0403, 45%,, eleven,HIGH, Excellent documentation 
P0404, 70,zero,9,Medium ,UC not reviewed
P0405,90%,5 defects,N/A,High,
P0406, 45%,,N/A,Medium ,"Incomplete UC, rework happened"
P0407,,5 defects,,LOW ,poorly written
P0408,,,N/A,HIGH,
P0409,,12,,,poorly written
P0410, 45%,zero,,LOW , some missing flows
P0411,,12,8 m,,Well defined use cases
P0412,100 ,zero,N/A,,Well defined use cases
P0413,N/A,,12months,,poorly written
P0414,,,12months,,"Incomplete UC, rework happened"
P0415,,eight,14,LOW ,
P0416,N/A,zero,12months,,"Incomplete UC, rework happened"
P0417,85,,8 m,low,poorly written
P0418, 70,15 ,10,LOW ,UC not reviewed
P0419,sixty,eight,9,Medium , Excellent documentation 
P0420,,,12months,LOW ,Well defined use cases
P0421,,5 defects,9,High,UC not reviewed
P0422,sixty,,,,poorly written
P0423,,15 ,N/A,LOW , Excellent documentation 
P0424, 70,12,N/A,Medium , some missing flows
P0425,,,8 m,Medium ,poorly written
P0426,100 ,12,,HIGH, some missing flows
P0427,85,12,10,Medium , Excellent documentation 
P0428,90%,15 ,12months,Medium ,Well defined use cases
P0429,N/A,zero,10,High,good but unclear alt flows
P0430, 70,eight, eleven,,
P0431,,,N/A,High, Excellent documentation 
P0432,N/A,5 defects,9,,poorly written
P0433,85,20,12months,LOW ,"Incomplete UC, rework happened"
P0434,85,eight,12months,low,UC not reviewed
P0435,90%,eight,N/A,LOW ,
P0436,85,15 ,10,low,"Incomplete UC, rework happened"
P0437,85,zero,8 m,HIGH,
P0438, 70,5 defects, eleven,High, some missing flows
P0439,90%,12,9,,good but unclear alt flows
P0440,,zero,9,, Excellent documentation 
P0441, 70,,8 m,LOW ,poorly written
P0442, 70,12,N/A,HIGH,Well defined use cases
P0443, 70,12,8 m,HIGH, Excellent documentation 
P0444,100 ,eight,,low, Excellent documentation 
P0445,100 ,12,9,,good but unclear alt flows
P0446,sixty,,8 m,Medium ,Well defined use cases
P0447,85,20,8 m,low,"Incomplete UC, rework happened"
P0448, 45%,,N/A,HIGH,UC not reviewed
P0449, 45%,,8 m,Medium ,poorly written
P0450,90%,,14,Medium ,"Incomplete UC, rework happened"
P0451, 45%,20,12months,,Well defined use cases
P0452, 45%,zero,N/A,,good but unclear alt flows
P0453,100 ,20,N/A,,UC not reviewed
P0454,100 ,,N/A,low,
P0455,100 ,,12months,High,UC not reviewed
P0456,85,, eleven,LOW ,"Incomplete UC, rework happened"
P0457,90%,5 defects, eleven,High,"Incomplete UC, rework happened"
P0458,,eight,12months,HIGH,Well defined use cases
P0459,,20,10,low,UC not reviewed
P0460, 45%,eight, eleven,HIGH, some missing flows
P0461, 45%,20,N/A,low,"Incomplete UC, rework happened"
P0462,N/A,5 defects,N/A,LOW ,"Incomplete UC, rework happened"
P0463,,5 defects,8 m,low,"Incomplete UC, rework happened"
P0464,85,,N/A,low,Well defined use cases
P0465,,,12months,LOW ,UC not reviewed
P0466,100 ,eight,8 m,High, Excellent documentation 
P0467,85,,12months,LOW ,UC not reviewed
P0468,90%,20, eleven,Medium ,poorly written
P0469,,12, eleven,,poorly written
P0470, 45%,5 defects,9,Medium ,Well defined use cases
P0471,100 ,,,High,"Incomplete UC, rework happened"
P0472,N/A,5 defects,10,HIGH,UC not reviewed
P0473,100 ,5 defects,10,, Excellent documentation 
P0474,,12,,Medium ,Well defined use cases
P0475, 70,,12months,,poorly written
P0476, 45%,,,LOW ,poorly written
P0477,N/A,,12months,High,Well defined use cases
P0478, 45%,,12months,Medium , some missing flows
P0479,sixty,,8 m,HIGH,poorly written
P0480,,zero,9,LOW ,UC not reviewed
P0481,85,5 defects, eleven,, Excellent documentation 
P0482, 70,zero,,HIGH, Excellent documentation 
P0483,,zero,12months,Medium ,poorly written
P0484,90%,15 ,N/A,Medium ,Well defined use cases
P0485, 45%,12,14,,UC not reviewed
P0486,sixty,5 defects,9,High,good but unclear alt flows
P0487, 45%,5 defects, eleven,LOW ,
P0488,sixty,5 defects,,LOW ,good but unclear alt flows
P0489,100 ,12,14,HIGH, some missing flows
P0490,85,,,low,"Incomplete UC, rework happened"
P0491,,,9,LOW , some missing flows
P0492, 45%,12,,LOW , some missing flows
P0493,90%,zero, eleven,low, Excellent documentation 
P0494,,eight,10,low,Well defined use cases
